name,version,scope,license
"@jridgewell/resolve-uri","3.1.2","development","MIT"
"@jridgewell/sourcemap-codec","1.5.5","development","MIT"
"@jridgewell/trace-mapping","0.3.31","development","MIT"
"@jridgewell/trace-mapping","0.3.9","development","MIT"
"@lukeed/ms","2.0.2","production","MIT"
"@oxc-project/types","0.143.0","development","MIT"
"@pinojs/redact","0.4.0","production","MIT"
"@playwright/test","1.62.1","development","Apache-2.0"
"@poppinss/colors","4.1.6","development","MIT"
"@poppinss/dumper","0.6.5","development","MIT"
"@poppinss/exception","1.2.3","development","MIT"
"@rolldown/binding-android-arm64","1.2.3","development","MIT"
"@rolldown/binding-darwin-arm64","1.2.3","development","MIT"
"@rolldown/binding-darwin-x64","1.2.3","development","MIT"
"@rolldown/binding-freebsd-x64","1.2.3","development","MIT"
"@rolldown/binding-linux-arm-gnueabihf","1.2.3","development","MIT"
"@rolldown/binding-linux-arm64-gnu","1.2.3","development","MIT"
"@rolldown/binding-linux-arm64-musl","1.2.3","development","MIT"
"@rolldown/binding-linux-ppc64-gnu","1.2.3","development","MIT"
"@rolldown/binding-linux-s390x-gnu","1.2.3","development","MIT"
"@rolldown/binding-linux-x64-gnu","1.2.3","development","MIT"
"@rolldown/binding-linux-x64-musl","1.2.3","development","MIT"
"@rolldown/binding-openharmony-arm64","1.2.3","development","MIT"
"@rolldown/binding-win32-arm64-msvc","1.2.3","development","MIT"
"@rolldown/binding-win32-x64-msvc","1.2.3","development","MIT"
"@rolldown/pluginutils","1.0.1","development","MIT"
"@sindresorhus/is","7.2.0","development","MIT"
"@speed-highlight/core","1.2.24","development","CC0-1.0"
"@sqlite.org/sqlite-wasm","3.53.0-build1","production","Apache-2.0"
"@standard-schema/spec","1.1.0","development","MIT"
"@tanstack/query-core","5.101.4","production","MIT"
"@tanstack/react-query","5.101.4","production","MIT"
"@testing-library/dom","10.4.1","development","MIT"
"@testing-library/jest-dom","7.0.0","development","MIT"
"@testing-library/react","16.3.2","development","MIT"
"@types/aria-query","5.0.4","development","MIT"
"@types/chai","5.2.3","development","MIT"
"@types/deep-eql","4.0.2","development","MIT"
"@types/dompurify","3.0.5","development","MIT"
"@types/esrecurse","4.3.1","development","MIT"
"@types/estree","1.0.9","development","MIT"
"@types/json-schema","7.0.15","development","MIT"
"@types/node","24.13.3","development","MIT"
"@types/react","19.2.18","production","MIT"
"@types/react-dom","19.2.4","development","MIT"
